Name	Description	Keywords	Resources	Image	Order	Prompt (Description)	Prompt (Keywords)
Keep a Gratitude Journal	A gratitude journal can help you keep track and appreciate the good things in your life.	Stressed, anxious, overwhelmed, negative, pessimistic, ungrateful, entitled, unsatisfied, unfulfilled, joyless, unhappy, discontent, bitter, resentful, envious, jealous, insecure, lost, confused, unbalanced, chaotic, unfocused, directionless, stuck, stagnant, self-doubting, discouraged, defeated, hopeless, helpless, frustrated, angry, resentful, cynical, disengaged, apathetic, unappreciative, unthankful, unresponsive, uninterested, Grateful, content, satisfied, happy, positive, optimistic, peaceful, centered, mindful, reflective.	https://positivepsychology.com/gratitude-journal-pdf/	https://positive.b-cdn.net/wp-content/uploads/gratitude-journal-1-510x255.jpg	1	Give a brief, 1-2 sentence explanation on Keep a Gratitude Journal	Give me about 40 keywords describing the feelings of someone who does not Keep a Gratitude Journal
Drink Water Regularly	Water helps regulate body temperature, transport nutrients, and flush out waste and toxins keeping you more alert and aware.	Dehydrated, thirsty, dry, fatigued, exhausted, tired, irritable, constipated, bloated, nauseous, headache, dizzy, lightheaded, weak, foggy, confused, forgetful, unmotivated, sluggish, inefficient, unproductive, anxious, stressed, moody, depressed, restless, sleepless, overheated, sweaty, bad breath, dry mouth, dark urine, kidney stones, bladder infections, urinary tract infections, dry skin, acne, wrinkles, premature aging, Hydrated, refreshed, energized, alert, focused, clear-headed, healthy, glowing, nourished, satisfied.	https://www.health.harvard.edu/staying-healthy/how-much-water-should-you-drink	https://domf5oio6qrcr.cloudfront.net/medialibrary/7909/b8a1309a-ba53-48c7-bca3-9c36aab2338a.jpg	2	Give a brief, 1-2 sentence explanation on Drink Water Regularly	Give me about 40 keywords describing the feelings of someone who does not Drink Water Regularly
Keep Track of your Goals	Keeping track of your goals can help you stay focused, motivated, and accountable, as well as provide a sense of accomplishment as you make progress towards achieving them.	Unfocused, unmotivated, uncertain, directionless, indecisive, unproductive, scattered, overwhelmed, anxious, stressed, disorganized, procrastinating, stagnant, unfulfilled, dissatisfied, discouraged, demotivated, aimless, purposeless, uninspired, detached, forgetful, disheartened, defeated, resigned, uncommitted, unfocused, unaccountable, forgetful, regretful, disappointed, lost, confused, drifting, ungrounded, unprepared, unconfident, underachieving, distracted, unambitious, Focus, motivation, productivity, empowerment, confidence, organization, accountability, purpose, proactivity, achievement.	https://iulianionescu.com/blog/track-your-goals/	https://www.kathkyle.com/wp-content/uploads/2020/08/cropped-view-of-woman-writing-with-black-highlighter-on-to-do-list-on-cork-board.jpg	3	Give a brief, 1-2 sentence explanation on Keep Track of your Goals	Give me about 40 keywords describing the feelings of someone who does not Keep Track of your Goals
Consume Motivational Content	Following or consuming motivational content can provide inspiration, support, and guidance, and help you maintain a positive mindset and stay motivated towards achieving your goals.	Unmotivated, stagnant, directionless, discouraged, uninspired, negative mindset, lack of clarity, procrastination, lack of focus, low self-esteem, disengaged, complacent, unproductive, disconnected, boredom, lack of purpose, demotivated, indifferent, hopeless, unfulfilled, disheartened, doubtful, confused, uncommitted, overwhelmed, stressed, frustrated, resentful, dissatisfied, insecure, unconfident, uncommitted, depressed, apathetic, isolated, pessimistic, negative self-talk, self-doubt, lack of inspiration, distracted, uninterested, inspired, motivated, energized, focused, confident, empowered, optimistic, determined, hopeful, engaged, social media	https://due.com/10-incredible-sources-for-motivating-content/#:~:text=10%20Incredible%20Sources%20For%20Motivating%20Content%201%201.,TV%2FMovies%20...%208%208.%20Quora%20...%20More%20items	https://media.cnn.com/api/v1/images/stellar/prod/200305212155-20200305-motivation-wellness.jpg?q=w_1600,h_900,x_0,y_0,c_fill	4	Give a brief, 1-2 sentence explanation on Consume Motivational Content	Give me about 40 keywords (NOT IN A LIST) describing the feelings of someone who does not Consume Motivational Content
Excersise	Regular exercise has numerous physical and mental health benefits, including improving cardiovascular health, building strength and endurance, reducing the risk of chronic diseases, enhancing mood and cognitive function, and promoting better sleep.	Lethargic, out of shape, tired, weak, low stamina, low energy, low endurance, poor circulation, overweight, lack of muscle tone, poor balance, poor posture, inflexible, increased risk of health problems, low self-esteem, increased stress levels, increased risk of anxiety and depression, increased risk of chronic diseases, increased risk of heart disease, increased risk of diabetes, increased risk of high blood pressure, increased risk of cancer, decreased mobility, decreased quality of life, increased fatigue, decreased mental clarity, decreased cognitive function, increased risk of dementia, decreased bone density, decreased lung function, decreased immune function, increased inflammation, increased risk of injury, decreased flexibility, decreased coordination, decreased balance, decreased reaction time, decreased cardiovascular health, decreased respiratory health, decreased joint health, decreased mood, decreased sense of well-being.	https://www.mayoclinic.org/healthy-lifestyle/fitness/in-depth/exercise/art-20048389	https://health.clevelandclinic.org/wp-content/uploads/sites/3/2022/04/exerciseHowOften-944015592-770x533-1-650x428.jpg	5	Give a brief, 1-2 sentence explanation on Excersise	Give me about 40 keywords (NOT IN A LIST) describing the feelings of someone who does not Excersise
Make your Bed in the Morning	Making your bed in the morning can provide a sense of accomplishment and order to start your day.	Demotivated, disorganized, chaotic, lazy, unproductive, unaccomplished, lacking discipline, messy, unfocused, overwhelmed, careless, unprepared, slothful, lethargic, untidy, unstructured, scattered, uncommitted, demoralized, indifferent, defeated, resigned, apathetic, hopeless, despondent, distracted, agitated, rushed, harried, anxious, stressed, disheveled, haphazard, unconcerned, aimless, uninspired, unambitious, negligent, forgetful.	https://www.verywellmind.com/mental-health-benefits-of-making-your-bed-5093540	https://www.verywellmind.com/thmb/uGeAgSSYUlswTmjcJu1qX8fiHTg=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mental-health-benefits-of-making-your-bed-5093540-notext-968aa16c003245e2ab80e50b5199cadc.png	6	Give a brief, 1-2 sentence explanation on Make your Bed in the Morning	Give me about 40 keywords (NOT IN A LIST, remove bullets one line) describing the feelings of someone who does not Make your Bed in the Morning
Set a Daily/Nightly routine	Setting a daily or nightly routine can help establish healthy habits and promote better time management, productivity, and self-care, as well as reduce stress and improve overall well-being.	Disorganized unfocused unproductive overwhelmed lack of structure no direction poor time management lack of discipline chaos low energy stressed scattered frazzled tired unmotivated anxious lack of productivity poor sleep schedule lack of balance lack of self-care procrastination forgetfulness poor memory lack of mindfulness poor habits poor health poor mental health poor work-life balance poor relationships poor communication skills poor decision-making skills lack of control rushed hectic unpredictability unpreparedness no self-improvement no personal growth	https://www.thespruce.com/how-to-create-a-daily-routine-2648007	https://assets.website-files.com/634681057b887c6f4830fae2/6367ddcf2529d14dd234e809_62e988d92c773535b74a6a0b_Following%2520Daily%2520Routines.png	7	Give a brief, 1-2 sentence explanation on Set a Daily/Nightly routine	Give me about 40 keywords (NOT IN A LIST, remove bullets one line) describing the feelings of someone who does not Set a Daily/Nightly routine
Take Breaks	Taking breaks can help prevent burnout, increase productivity, and promote mental and physical well-being by allowing time for rest, rejuvenation, and replenishment of energy and focus.	Drained, Exhausted, Burnt out, Overwhelmed, Anxious, Stressed, Frustrated, Resentful, Disengaged, Disconnected, Unproductive, Unfocused, Tired, Lethargic, Bored, Uninspired, Irritable, Impatient, Restless, Antsy, Annoyed, Distracted, Overworked, Underappreciated, Undervalued, Numb, Stuck, Unmotivated, Stagnant, Directionless, Discouraged, Demotivated, Indifferent, Hopeless, Unfulfilled, Disheartened, Doubtful, Confused, Overstimulated, Scattered.	https://www.verywellmind.com/why-research-shows-that-taking-breaks-is-key-to-learning-5190398	https://www.jobillico.com/blog/wp-content/uploads/2020/04/Work-Breaks2.jpg	8	Give a brief, 1-2 sentence explanation on Take Breaks	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Take Breaks
Limit your Social Media Consumption	Limiting your social media consumption can help reduce the negative effects of excessive screen time, such as anxiety, depression, and poor sleep, and free up time and mental space for more productive and fulfilling activities.	Distracted, unproductive, anxious, envious, overwhelmed, comparison, addicted, lonely, insecure, unsatisfied, discontent, FOMO (fear of missing out), disconnected, bored, numb, restless, frustrated, wasting time, procrastination, depressed, unhappy, demotivated, low self-esteem, self-doubt, stressed, isolated, social pressure, time-consuming, addicted, jealousy, anxiety, unhealthy habits, low energy, lack of focus, negative self-talk, self-criticism, disengaged, unfulfilled, uninspired, disinterested, lost, social media, facebook, instagram, snapchat, twitter, youtube	https://www.helpguide.org/articles/mental-health/social-media-and-mental-health.htm	https://www.helpguide.org/wp-content/uploads/2020/01/Social-Media-and-Mental-Health.webp	9	Give a brief, 1-2 sentence explanation on Limit your Social Media Consumption	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Limit your Social Media Consumption
Reduce your Exposure to Blue Light	Reducing your exposure to blue light, especially at night, can help regulate your sleep-wake cycle, improve sleep quality, and reduce eye strain and fatigue caused by extended screen time.	Strained eyes, Eye fatigue, Blurred vision, Headaches, Migraines, Insomnia, Poor sleep quality, Daytime fatigue, Irritability, Anxiety, Restlessness, Depression, Lack of concentration, Decreased productivity, Eye strain, Digital eye strain, Dry eyes, Burning eyes, Watery eyes, Neck pain, Shoulder pain, Back pain, Wrist pain, Carpal tunnel syndrome, Numbness, Tingling, Muscle weakness, Poor circulation, Decreased metabolism, Weight gain, Increased risk of obesity, Increased risk of type 2 diabetes, Increased risk of heart disease, Increased risk of cancer, Disrupted circadian rhythm, Suppressed melatonin production, Delayed sleep onset, Disrupted sleep-wake cycle, Suppressed immune system, Premature aging, tired, exhausted, social media, phone, computer, devices	https://www.healthline.com/nutrition/block-blue-light-to-sleep-better#:~:text=Tinted%20Glasses%20May%20Help.%20Amber-tinted%20glasses%20offer%20the,signal%20that%20it%20is%20supposed%20to%20stay%20awake.	https://i0.wp.com/post.healthline.com/wp-content/uploads/2020/01/blue-light-before-sleep-1296x728-feature-1296x728.jpg?h=1528	10	Give a brief, 1-2 sentence explanation on Reduce your Exposure to Blue Light	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Reduce your Exposure to Blue Light
Read Daily	Reading daily can help improve your cognitive function, expand your knowledge and vocabulary, and reduce stress.	Lack of mental stimulation, ignorance, boredom, lack of curiosity, lack of focus, diminished vocabulary, lack of knowledge acquisition, limited imagination, less creativity, less empathy, less perspective-taking, lower critical thinking skills, difficulty in communicating, less stress relief, less relaxation, less escapism, less self-reflection, less personal growth, less intellectual challenge, less exposure to different perspectives, less cultural enrichment, less inspiration, less motivation, less opportunity to learn from others' experiences, less cognitive development, less memory retention, less mental clarity, more distractions, more screen time, more social media scrolling, more procrastination, more stress, more anxiety, more depression.	PLACEHOLDER	PLACEHOLDER	11	Give a brief, 1-2 sentence explanation on Read Daily	Give me about 40 keywords (NOT IN A LIST, remove bullets all on one sentence) describing the feelings of someone who does not Read Daily
